Code;Bezeichnung;Niveau;Misc
28293;Aufsicht - Textilverarbeitung;;Aufsicht
28294;Führung - Textilverarbeitung;;Führung
283;Leder-, Pelzherstellung u. -verarbeitung;;
2830;Berufe Leder-,Pelzherstell.,-verarb.(oS);;
28301;Leder-,Pelzherstell.,-verarb.(oS)-Helfer;Helfer;
2831;Berufe in der Lederherstellung;;
28312;Lederherstellung - Fachkraft;Fachkraefte;
28313;Lederherstellung - Spezialist;Spezialisten;
28314;Lederherstellung - Experte;Experten;
2832;Berufe Sattlerei, Herst. Lederutensilien;;
28322;Sattlerei,Herst. Lederutensil.-Fachkraft;Fachkraefte;
2833;Berufe in der Schuhherstellung;;
28332;Schuhherstellung - Fachkraft;Fachkraefte;
28333;Schuhherstellung - Spezialist;Spezialisten;
2834;Berufe in der Pelzbe- und -verarbeitung;;
28342;Pelzbe- und -verarbeitung - Fachkraft;Fachkraefte;
28343;Pelzbe- und -verarbeitung - Spezialist;Spezialisten;
2839;Aufsicht,Führung-Leder-,Pelzher.,verarb.;;Aufsicht
28393;Aufsicht - Leder-,Pelzherstell.,-verarb.;;Aufsicht
28394;Führung - Leder-,Pelzherstell.,-verarb.;;Führung
29;Lebensmittelherstellung u. -verarbeitung;;
291;Getränkeherstellung;;
2910;Berufe in der Getränkeherstellung (o.S.);;
29102;Getränkeherstellung (o.S.) - Fachkraft;Fachkraefte;
29103;Getränkeherstellung (o.S.) - Spezialist;Spezialisten;
29104;Getränkeherstellung (o.S.) - Experte;Experten;
2911;Brauer/innen und Mälzer/innen;;
29112;Brauer/innen, Mälzer/innen - Fachkraft;Fachkraefte;
29113;Brauer/innen, Mälzer/innen - Spezialist;Spezialisten;
29114;Brauer/innen, Mälzer/innen - Experte;Experten;
2912;Weinküfer/innen;;
29122;Weinküfer/innen - Fachkraft;Fachkraefte;
29123;Weinküfer/innen - Spezialist;Spezialisten;
2913;Brenner/innen, Destillateure/innen;;
29132;Brenner, Destillateure - Fachkraft;Fachkraefte;
29133;Brenner, Destillateure - Spezialist;Spezialisten;
29134;Brenner, Destillateure - Experte;Experten;
2914;Berufe in der Fruchtsafttechnik;;
29142;Fruchtsafttechnik - Fachkraft;Fachkraefte;
29143;Fruchtsafttechnik - Spezialist;Spezialisten;
2915;Nahrungsmittel- u. Getränkekoster/innen;;
29152;Nahrungsmittel-,Getränkekoster-Fachkraft;Fachkraefte;
2919;Aufsicht,Führung - Getränkeherstellung;;Aufsicht
29193;Aufsicht - Getränkeherstellung;;Aufsicht
29194;Führung - Getränkeherstellung;;Führung
292;Lebensmittel- u. Genussmittelherstellung;;
2920;Berufe i.d. Lebensmittelherstellung (oS);;
29201;Lebensmittelherstellung (o.S.) - Helfer;Helfer;
29202;Lebensmittelherstellung (oS) - Fachkraft;Fachkraefte;
29203;Lebensmittelherstellung (oS) -Spezialist;Spezialisten;
29204;Lebensmittelherstellung (o.S.) - Experte;Experten;
2921;Berufe Mühlenprodukt-,Futtermittelherst.;;
29212;Mühlenprod.-,Futtermittelher.-Fachkraft;Fachkraefte;
29213;Mühlenprod.-,Futtermittelher.-Spezialist;Spezialisten;
2922;Berufe Back-, Konditoreiwarenherstell.;;
29222;Back-, Konditoreiwarenherst.-Fachkraft;Fachkraefte;
29223;Back-, Konditoreiwarenherst.-Spezialist;Spezialisten;
2923;Berufe in der Fleischverarbeitung;;
